레시피ID,품목ID,레시피원료명,소모량,단위
R0001,P0045,원두,18.5,g
R0002,P0063,원조커피원액,150.0,ml
R0003,P0063,원조커피원액,125.0,ml
R0004,P0045,원두,18.5,g
R0005,P0045,원두,18.5,g
R0006,P0045,원두,18.5,g
R0006,P0064,헤이즐넛시럽,30.0,g
R0007,P0045,원두,18.5,g
R0007,P0064,헤이즐넛시럽,30.0,g
R0008,P0045,원두,18.5,g
R0008,P0065,꿀,40.0,g
R0009,P0045,원두,18.5,g
R0009,P0065,꿀,40.0,g
R0010,P0045,원두,18.5,g
R0010,P0048,생크림,50.0,ml
R0010,P0046,우유,200.0,ml
R0011,P0045,원두,18.5,g
R0011,P0046,우유,250.0,ml
R0012,P0046,우유,225.0,ml
R0013,P0045,원두,18.5,g
R0013,P0064,헤이즐넛시럽,30.0,g
R0013,P0046,우유,250.0,ml
R0014,P0045,원두,18.5,g
R0014,P0064,헤이즐넛시럽,30.0,g
R0014,P0046,우유,250.0,ml
R0015,P0045,원두,18.5,g
R0015,P0013,모카파우더,39.0,g
R0015,P0046,우유,250.0,ml
R0016,P0045,원두,18.5,g
R0016,P0013,모카파우더,39.0,g
R0016,P0046,우유,250.0,ml
R0017,P0045,원두,18.5,g
R0017,P0066,카라멜소스,50.0,g
R0017,P0046,우유,250.0,ml
R0017,P0067,카라멜드리즐,5.0,g
R0018,P0045,원두,18.5,g
R0018,P0066,카라멜소스,50.0,g
R0018,P0046,우유,250.0,ml
R0018,P0067,카라멜드리즐,5.0,g
R0019,P0045,원두,18.5,g
R0019,P0016,바닐라파우더,45.0,g
R0019,P0046,우유,250.0,ml
R0020,P0045,원두,18.5,g
R0020,P0016,바닐라파우더,45.0,g
R0020,P0046,우유,250.0,ml
R0021,P0045,원두,18.5,g
R0021,P0047,연유,70.0,g
R0021,P0046,우유,225.0,ml
R0022,P0045,원두,18.5,g
R0022,P0047,연유,70.0,g
R0022,P0046,우유,225.0,ml
R0023,P0046,우유,250.0,ml
R0023,P0049,초콜릿소스,70.0,g
R0023,P0031,다크컬스 초콜릿,5.0,g
R0024,P0046,우유,250.0,ml
R0024,P0049,초콜릿소스,70.0,g
R0025,P0012,녹차파우더,51.0,g
R0025,P0046,우유,250.0,ml
R0026,P0012,녹차파우더,51.0,g
R0026,P0046,우유,250.0,ml
R0027,P0023,밀크티베이스,100.0,ml
R0027,P0046,우유,250.0,ml
R0028,P0023,밀크티베이스,100.0,ml
R0028,P0046,우유,250.0,ml
R0029,P0041,미숫가루,60.0,g
R0029,P0019,시럽,60.0,g
R0030,P0009,식혜원액,100.0,ml
R0031,P0003,냉동딸기,125.0,g
R0031,P0019,시럽,20.0,g
R0031,P0046,우유,200.0,ml
R0032,P0003,냉동딸기,125.0,g
R0032,P0019,시럽,20.0,g
R0032,P0050,탄산수,1.0,캔
R0033,P0055,복숭아베이스,60.0,g
R0033,P0054,우롱티백,0.6,EA
R0034,P0055,복숭아베이스,60.0,g
R0034,P0054,우롱티백,0.5,EA
R0035,P0054,우롱티백,0.8,EA
R0036,P0054,우롱티백,0.6,EA
R0037,P0010,미초원액,100.0,ml
R0038,P0018,아이스티파우더,65.0,g
R0039,P0018,아이스티파우더,65.0,g
R0039,P0045,원두,9.25,g
R0040,P0038,빽다방 청포도 플라워향 에이드,100.0,g
R0041,P0030,자몽베이스,120.0,g
R0042,P0030,자몽베이스,120.0,g
R0043,P0056,레몬베이스,120.0,g
R0044,P0056,레몬베이스,120.0,g
R0045,P0058,깔라만시베이스,100.0,g
R0045,P0019,시럽,20.0,g
