레시피ID,메뉴명,구분
R0001,더블 에스프레소,HOT
R0002,원조커피,HOT
R0003,원조커피,ICED
R0004,아메리카노,HOT
R0005,아메리카노,ICED
R0006,헤이즐넛 아메리카노,HOT
R0007,헤이즐넛 아메리카노,ICED
R0008,꿀 아메리카노,HOT
R0009,꿀 아메리카노,ICED
R0010,카페라떼,HOT
R0011,카페라떼,ICED
R0012,디카페인 카페라떼,ICED
R0013,헤이즐넛라떼,HOT
R0014,헤이즐넛라떼,ICED
R0015,카페모카,HOT
R0016,카페모카,ICED
R0017,카라멜 마키아또,HOT
R0018,카라멜 마키아또,ICED
R0019,바닐라라떼,HOT
R0020,바닐라라떼,ICED
R0021,달달연유라떼,HOT
R0022,달달연유라떼,ICED
R0023,초코라떼,HOT
R0024,초코라떼,ICED
R0025,말차라떼,HOT
R0026,말차라떼,ICED
R0027,밀크티,HOT
R0028,밀크티,ICED
R0029,미숫가루,ICED
R0030,식혜,ICED
R0031,딸기라떼,ICED
R0032,딸기에이드,ICED
R0033,피치우롱 스위티,HOT
R0034,피치우롱 스위티,ICED
R0035,우롱티,HOT
R0036,우롱티,ICED
R0037,미초,ICED
R0038,복숭아 아이스티,ICED
R0039,아이스티 샷 추가 (아샷추),ICED
R0040,청포도플라워,ICED
R0041,자몽티,HOT
R0042,자몽티,ICED
R0043,레몬티,HOT
R0044,레몬티,ICED
R0045,깔라만시티,HOT
R0046,깔라만시티,ICED
R0047,유자티,HOT
R0048,유자티,ICED
R0049,깔라만시에이드,ICED
R0050,청포도플라워 에이드,ICED
R0051,자몽에이드,ICED
R0052,미초에이드,ICED
R0053,레모네이드,ICED
R0054,유자에이드,ICED
R0055,복숭아에이드,ICED
R0056,체리콕콕,ICED
R0057,멜론소다,ICED
R0058,흑당버블라떼,ICED
R0059,흑당버블카페라떼,ICED
R0060,흑당버블밀크티,ICED
R0061,딸기요거트스무디,ICED
R0062,플레인요거트스무디,ICED
R0063,블루베리요거트스무디,ICED
R0064,밀크쉐이크,ICED
R0065,아메리카노 (32oz),ICED
R0066,카페라떼 (32oz),ICED
R0067,바닐라라떼 (32oz),ICED
R0068,원조커피 (32oz),ICED
R0069,복숭아 아이스티 (32oz),ICED
R0070,아이스티 샷추가 (아샷추) (32oz),ICED
R0071,초코라떼 (32oz),ICED
R0072,식혜 (32oz),ICED
R0073,딸기라떼 (32oz),ICED
R0074,미숫가루 (32oz),ICED
R0075,말차크림라떼,ICED
R0076,말차크림망고스무디,ICED
R0077,콤부차 샤인머스캣,ICED
R0078,프로틴 쉐이크 초코,ICED
R0079,프로틴 쉐이크 바나나,ICED
R0080,크리미 콜드브루 바닐라,ICED
R0081,디카페인 크리미 콜드브루 바닐라,ICED
R0082,크리미 콜드브루 카라멜,ICED
R0083,디카페인 크리미 콜드브루 카라멜,ICED
R0084,레드불에이드,ICED
R0085,레드불꿀샷추,ICED
R0086,망고스무디,ICED
R0087,제로슈거 납작복숭아 아이스티,ICED
R0088,제로슈거 납작복숭아 아.샷.추,ICED
R0089,제로슈거 레모네이드,ICED
R0090,제로슈거 자몽에이드,ICED
R0091,파인애플 담은 주스,ICED
R0092,토마토 담은 주스,ICED
R0093,제주감귤주스,ICED
R0094,우리수박주스,ICED
R0095,제로슈거 레몬티,HOT
R0096,제로슈거 레몬티,ICED
R0097,제로슈거 자몽티,HOT
R0098,제로슈거 자몽티,ICED
R0099,딸기복숭아 루이보스티,ICED
R0100,에어폼아메리카노,ICED
R0101,율무라떼,HOT
R0102,율무라떼,ICED
R0103,율무아몬드라떼,HOT
R0104,율무아몬드라떼,ICED
R0105,생강차,HOT
R0106,생강차,ICED
R0107,생크림 아메리카노,ICED
R0108,생크림 카페라떼,ICED
R0109,피스타치오생크림 카페라떼,ICED
R0110,피스타치오생크림 초코라떼,ICED
R0111,우베라떼,ICED
R0112,아이스크림 우베라떼,ICED
R0113,생크림 우베라떼,ICED
R0114,원조커피크림 라떼,ICED
R0115,원조커피크림 미숫가루,ICED
R0116,피스타치오 빽스치노,ICED
R0117,통단팥율무쉐이크,ICED
R0118,통단팥쉐이크,ICED
R0119,통단팥컵빙,ICED
R0120,망고 컵빙수,ICED
R0121,블루베리 컵빙수,ICED
R0122,초코 컵빙수,ICED
R0123,냥냥! 춘배펀치 딸기스무디,ICED
R0124,냥냥! 춘배펀치 초코스무디,ICED
R0125,자두스무디,ICED
R0126,청사과스무디,ICED
R0127,코코넛 커피스무디,ICED
R0128,코코넛 카페라떼,HOT
R0129,코코넛 카페라떼,ICED
R0130,민트초코라떼,HOT
R0131,민트초코라떼,ICED
R0132,민트초코 빽스치노,ICED
R0133,사라다빵,FOOD
R0134,소세지빵,FOOD
R0135,빽그램핫도그,FOOD
