=== RAW ROWS ===
Row 0: [' ', nan, nan, nan, nan, nan, nan, nan, nan, '총 상품매출(상품매출+옵션매출)', nan, nan, '총 상품할인(상품할인+옵션할인)', nan, nan, '실 상품매출', '전달방식', nan, nan]
Row 1: ['순위', '영업일자', '매장명', '사업자등록번호', '판매 카테고리명', '나만의 카테고리명', '상품번호(연동코드)', '상품명', '판매 수량', '매출 합계', '상품매출', '옵션매출', '할인 합계', '상품할인', '옵션할인', '실 상품매출', '내점', '포장', '배달(배달팁 포함)']
Row 2: [1, '26-07-01 ~ 26-07-31', '빽다방 평택고덕국제신도시점', '211-35-02196', '커피', '미분류', '107067377', '아메리카노(ICED)', 1266, 2564900, 2532000, 32900, 170000, 170000, 0, 2394900, 328100, 2066800, 0]
Row 3: [2, '26-07-01 ~ 26-07-31', '빽다방 평택고덕국제신도시점', '211-35-02196', '커피', '미분류', '107067389', '바닐라라떼(ICED)', 222, 831400, 821400, 10000, 48000, 48000, 0, 783400, 94200, 689200, 0]
Row 4: [3, '26-07-01 ~ 26-07-31', '빽다방 평택고덕국제신도시점', '211-35-02196', '커피', '미분류', '107067378', '빽사이즈 아메리카노(ICED)', 232, 775500, 765600, 9900, 28000, 28000, 0, 747500, 37600, 709900, 0]
Row 5: [4, '26-07-01 ~ 26-07-31', '빽다방 평택고덕국제신도시점', '211-35-02196', '커피', '미분류', '107067384', '카페라떼(ICED)', 176, 576700, 563200, 13500, 34000, 34000, 0, 542700, 60400, 482300, 0]
Row 6: [5, '26-07-01 ~ 26-07-31', '빽다방 평택고덕국제신도시점', '211-35-02196', '점포행사/이벤트', '미분류', '107313048', '[행사]요거트 아이스크림', 148, 492200, 429200, 63000, 0, 0, 0, 492200, 172000, 320200, 0]
Row 7: [6, '26-07-01 ~ 26-07-31', '빽다방 평택고덕국제신도시점', '211-35-02196', '주스 / 에이드', '미분류', '107067543', '우리수박주스', 93, 375700, 372000, 3700, 8000, 8000, 0, 367700, 81000, 286700, 0]
Row 8: [7, '26-07-01 ~ 26-07-31', '빽다방 평택고덕국제신도시점', '211-35-02196', '커피', '미분류', '107067402', '아이스티 샷추가(아.샷.추)', 102, 351600, 346800, 4800, 12000, 12000, 0, 339600, 33800, 305800, 0]
Row 9: [8, '26-07-01 ~ 26-07-31', '빽다방 평택고덕국제신도시점', '211-35-02196', '커피', '미분류', '107067401', '달달연유라떼(ICED)', 63, 234300, 233100, 1200, 4000, 4000, 0, 230300, 25900, 204400, 0]
Row 10: [9, '26-07-01 ~ 26-07-31', '빽다방 평택고덕국제신도시점', '211-35-02196', '커피', '미분류', '107067391', '원조커피(ICED)', 83, 212900, 207500, 5400, 0, 0, 0, 212900, 20000, 192900, 0]
Row 11: [10, '26-07-01 ~ 26-07-31', '빽다방 평택고덕국제신도시점', '211-35-02196', '차 / 흑당버블', '미분류', '107067500', '복숭아 아이스티(ICED)', 73, 207400, 204400, 3000, 0, 0, 0, 207400, 22400, 185000, 0]
Row 12: [11, '26-07-01 ~ 26-07-31', '빽다방 평택고덕국제신도시점', '211-35-02196', '음료', '미분류', '107067488', '미숫가루(우유)', 49, 197100, 196000, 1100, 6000, 6000, 0, 191100, 46000, 145100, 0]
Row 13: [12, '26-07-01 ~ 26-07-31', '빽다방 평택고덕국제신도시점', '211-35-02196', '커피', '미분류', '107067383', '카페라떼(HOT)', 52, 168400, 166400, 2000, 6000, 6000, 0, 162400, 28800, 133600, 0]
Row 14: [13, '26-07-01 ~ 26-07-31', '빽다방 평택고덕국제신도시점', '211-35-02196', '커피', '미분류', '107067403', '빽사이즈 아이스티 샷추가(아.샷.추)', 34, 153600, 153000, 600, 6000, 6000, 0, 147600, 0, 147600, 0]
Row 15: [14, '26-07-01 ~ 26-07-31', '빽다방 평택고덕국제신도시점', '211-35-02196', '점포행사/이벤트', '미분류', '107404378', '[행사]초코브라우니 요거트 아이스크림', 34, 151200, 146200, 5000, 0, 0, 0, 151200, 62700, 88500, 0]
Row 16: [15, '26-07-01 ~ 26-07-31', '빽다방 평택고덕국제신도시점', '211-35-02196', '커피', '미분류', '107067376', '아메리카노(HOT)', 84, 144400, 142800, 1600, 5100, 5100, 0, 139300, 45900, 93400, 0]
Row 17: [16, '26-07-01 ~ 26-07-31', '빽다방 평택고덕국제신도시점', '211-35-02196', '커피', '미분류', '107067382', '헤이즐넛아메리카노 (ICED)', 54, 135500, 135000, 500, 2000, 2000, 0, 133500, 25000, 108500, 0]
